actual_value,predicted_value,Correct_Prediction
pop,pop,True
pop,pop,True
pop,reggae,False
pop,classical,False
pop,country,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,disco,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,pop,True
pop,jazz,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,hiphop,False
pop,pop,True
pop,disco,False
pop,pop,True
pop,pop,True
pop,pop,True
pop,blues,False
pop,rock,False
pop,hiphop,False
pop,pop,True
pop,pop,True
jazz,classical,False
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,jazz,True
jazz,classical,False
jazz,jazz,True
jazz,jazz,True
jazz,pop,False
jazz,jazz,True
jazz,classical,False
jazz,jazz,True
jazz,classical,False
jazz,jazz,True
jazz,jazz,True
jazz,country,False
jazz,disco,False
jazz,disco,False
jazz,disco,False
rock,country,False
rock,rock,True
rock,blues,False
rock,metal,False
rock,metal,False
rock,metal,False
rock,rock,True
rock,metal,False
rock,rock,True
rock,disco,False
rock,rock,True
rock,rock,True
rock,country,False
rock,reggae,False
rock,pop,False
rock,metal,False
rock,pop,False
rock,rock,True
rock,country,False
rock,rock,True
rock,rock,True
rock,blues,False
rock,rock,True
rock,rock,True
rock,disco,False
rock,country,False
rock,metal,False
blues,blues,True
blues,classical,False
blues,reggae,False
blues,jazz,False
blues,blues,True
blues,jazz,False
blues,jazz,False
blues,blues,True
blues,reggae,False
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,blues,True
blues,metal,False
blues,metal,False
blues,blues,True
blues,blues,True
blues,blues,True
blues,disco,False
blues,rock,False
blues,disco,False
blues,blues,True
blues,blues,True
blues,rock,False
blues,country,False
blues,blues,True
blues,reggae,False
disco,rock,False
disco,pop,False
disco,metal,False
disco,disco,True
disco,disco,True
disco,pop,False
disco,hiphop,False
disco,country,False
disco,country,False
disco,rock,False
disco,disco,True
disco,rock,False
disco,disco,True
disco,disco,True
disco,disco,True
disco,rock,False
disco,disco,True
