feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,Genre
-118.256744,85.85304,0.12441977,54.102276,-4.5525546,26.786444,-12.502304,23.830359,-14.875373,22.899637,-22.49649,13.768974,-12.395456,4.0541754,-6.091247,3.1250594,2.565196,1.4100646,8.020515,5.5374846,0.66364354,0.5894986,0.6583813,0.5196848,0.60833174,0.6060339,0.5168347,0.644515,0.5688203,0.61384875,0.522284,0.60171545,0.18400191,pop
-85.23933,75.96644,5.5355344,46.70268,-13.98998,31.349628,-21.699451,33.87737,-16.314823,27.428923,-15.487843,12.739193,-9.505003,6.316138,-4.416067,2.269271,0.16543165,5.738306,4.5952196,4.3236103,0.69106877,0.57786226,0.5938148,0.56227607,0.5162863,0.6083114,0.53970796,0.67290884,0.6040027,0.55849224,0.6062994,0.60089576,0.2576787,pop
-85.86278,95.17762,0.07679681,48.152676,-20.136269,37.1141,-14.613914,29.388742,-16.425358,25.126972,-12.669771,16.457952,-6.483565,13.122614,-0.7009526,9.596878,1.9285718,2.0564723,3.2022045,-4.601963,0.66316396,0.6291156,0.68136257,0.5446565,0.49903432,0.52618444,0.5288131,0.6070736,0.55697274,0.6917563,0.73232603,0.6274187,0.2132328,pop
-145.88693,150.20955,-38.21181,46.586678,12.386405,11.765772,1.7762339,13.3523035,-10.370365,22.996916,-11.588642,6.96807,-6.754072,-2.1495848,2.2379475,-5.274844,5.0623264,-0.83470416,1.085341,2.2355008,0.5505611,0.52542615,0.73520523,0.5078695,0.46036857,0.4899174,0.5820964,0.84277993,0.58170396,0.60132813,0.5136159,0.62875575,0.12881607,pop
-47.909637,117.6291,-24.449562,45.28618,-17.195576,27.202583,-22.08457,28.874758,-12.45216,26.601,-16.544441,11.088169,-11.712486,6.5932827,-3.271923,0.6003688,-2.8296688,-1.1796666,1.9350188,-1.8981788,0.65021145,0.6310308,0.6890434,0.57287234,0.5982675,0.5432185,0.59408957,0.6370755,0.6528853,0.7148957,0.6206465,0.6584226,0.20976159,pop
-136.79979,118.693855,-29.558668,47.244583,-15.901771,22.647062,-16.728775,21.46373,-10.091692,12.494392,-16.214872,3.4031324,-10.868285,-1.0488437,-6.6583333,-3.2996986,-3.2412999,-5.114838,-2.4392273,-1.7537321,0.53104836,0.67258674,0.5201841,0.5335415,0.43343,0.4745312,0.7293751,0.5297912,0.53393155,0.47742352,0.6454064,0.67705923,0.13912387,pop
-190.1795,119.166306,2.4901886,48.9215,-7.862722,33.440796,-11.4037485,24.589296,-0.528219,17.516695,-7.6828856,7.321411,-5.8323765,-2.0897171,-1.7918478,-0.99847233,-2.578391,-4.9709044,-3.7605348,-6.363487,0.7456493,0.5691992,0.589572,0.51231796,0.5596688,0.58225185,0.6335845,0.75725687,0.58355206,0.537921,0.5206939,0.7034078,0.093582936,pop
-242.05956,127.48816,-15.915369,26.932081,-3.744983,4.539036,-9.010817,21.960909,-2.3031363,18.037916,-10.61823,2.3111308,1.624739,8.69641,8.285792,4.6027412,3.1839793,2.3898966,0.9803172,-4.403065,0.32960558,0.44097984,0.60112673,0.3639073,0.29141358,0.2650301,0.31933266,0.33247283,0.35308376,0.641,0.48611718,0.34713787,0.08405886,pop
-79.50306,108.145134,-18.438755,53.10751,-6.243533,31.683538,-20.279026,29.731627,-14.907999,29.3195,-15.450083,11.406213,-12.447803,7.0129747,-5.001741,2.5527282,-1.7584192,-2.2451048,1.0079894,2.1906714,0.649815,0.59711367,0.6067212,0.7488425,0.5328469,0.5559898,0.5360699,0.60959214,0.756383,0.59557277,0.60959655,0.5357031,0.1937105,pop
-63.01612,95.55085,-18.90804,59.471855,-22.097162,26.267416,-26.640738,26.867296,-15.092189,21.50407,-20.63953,8.740336,-8.864974,6.4258785,-5.8323846,3.182015,-3.5784795,-1.6291683,3.1888576,-1.5392015,0.6549335,0.75118357,0.6517516,0.64126056,0.61058956,0.56487167,0.6760746,0.6316125,0.6301405,0.6908373,0.742292,0.77362424,0.15803343,pop
